business_id,name,city,state,latitude,longitude,postal_code
MFxRPt8-B2xTYmon3s84kg,KRĒM,Reno,NV,39.4922712699,-119.7947931411,89502
uVCMVOTyL4-j4M37o01MwA,Imperial Woodpecker Snoballs,New Orleans,LA,29.9226351,-90.0911594,70115
Zx7n8mdt8OzLRXVzolXNhQ,Milk and Honey Nashville,Nashville,TN,36.1547024,-86.7845414,37203
Bw0cpnfI-Y9QmjWzqS-oFg,Izumi,Philadelphia,PA,39.929738,-75.1633963,19148
-0Ym1Wg3bXd_TDz8JtvOQg,Yelo'd Ice Cream,Edmonton,AB,53.518487,-113.493183,T6E 1Z4
5TVWytR2oNbSKYgfxypuBw,La Patisserie Chouquette,Saint Louis,MO,38.6197152,-90.2556467,63110
KBsLYznLfnJEY3RIBUZe0Q,Kei Sushi,Reno,NV,39.4785657157,-119.7867159918,89502
KdkMXzeoqpfNsZd-_axoTQ,emPIEnada,Reno,NV,39.5428346,-119.8569115,89503
WLYZjUusZ9kwwWvgCLtlCw,Choppa Ice Cream,Goleta,CA,34.431177,-119.8740625,93117
H_JO3CNWRTRHmstEyvb31Q,Cube Cafe,Philadelphia,PA,39.9552543,-75.1574065,19107
VGYWVWwuuNRzI2UcSNIw2g,Copia Restaurant & Wine Garden,Saint Louis,MO,38.631274,-90.195935,63101
rVT63ENrSAsx3Nwk3ofMbg,Supreme Kreme,Nashville,TN,36.127448,-86.7778715,37204
j19dK4wX22MnVkqmxa-lWA,Seventh Heaven,Philadelphia,PA,39.952603502,-75.1715714112,19103
MM_v-KIUJiXLCxnkIqPKWA,Soy Cafe,Philadelphia,PA,39.9616969288,-75.1412892166,19123
DI6eQxYSWVwQgvPCgwxAUw,Cacao 70 Eatery,Edmonton,AB,53.5182388,-113.4987243,T6E 2A2
Wfg85U89qt1OA7aqw5trFA,More Sugar,Philadelphia,PA,39.9547447,-75.1575180679,19107
_zdARZbZNr4k8AD-SJDCgg,Pearings Cafe + Frozen Yogurt,Indianapolis,IN,39.7671706803,-86.1584665243,46204
ey2F1-Vh60vczNAk0kEnFQ,District Donuts Sliders Brew,Jefferson,LA,29.9608550676,-90.185473,70123
uumuIX8VTKcgqN0EJI4geA,Twelve Baskets,Philadelphia,PA,39.952335,-75.163789,19019
9f48RWEylLgrkCt0-49iHw,Paris Baguette,Elkins Park,PA,40.0630352,-75.136916,19027
mRpk0A4u0hnF0lNe1h4hGg,Bearcat Cafe,New Orleans,LA,29.935642,-90.1041242,70115
KqUinf0QEeiZdxko2dFEsA,Shane Confectionery,Philadelphia,PA,39.9495474,-75.1426984,19106
68CrobDtaDP-_-aeowSG6A,Monsoon Chocolate,Tucson,AZ,32.2064912119,-110.9659598395,85713
Kjt2eEFNoe9Zz8dwkbYc9w,Aqua S,New Orleans,LA,29.948099,-90.075219,70113
IG-CwPl5mb6-hmpFjXUIvA,Choppa Poke,Santa Barbara,CA,34.419247,-119.698394,93101
s5LHJu6ALBj0ujBZODHK5A,Caffe Bene,Philadelphia,PA,39.955369,-75.1980204,19104
YuTrJL0BStMGlvJR2QZebg,Sweet Handkraft,Metairie,LA,30.0106743,-90.1583863,70002
YVy2DgGfNmG5hWYbA7k8jg,SweetArt,Saint Louis,MO,38.6116671,-90.24604,63110
dXYmCOVFSsKBkRq_0-tIaw,Audabon Bakeshop,Philadelphia,PA,39.9548827769,-75.1574696681,19107
0Hu_MBd_UoHjUV8NAWwYJw,The Dessert House,Edmonton,AB,53.5231228,-113.5120398,T6G 1E2
_z_S6QGvLinY1sfiI68ePw,Cacao 70 Sweet House,Edmonton,AB,53.5456285,-113.494672,T5J 4X1
eLt-dwl-xxXj9nklhs2eOw,Sweet Cafe,Philadelphia,PA,39.951907,-75.1707347,19103
Ascp7b98CN6pMAydXeVXaA,Yogurtland,Saint Louis,MO,38.5570091,-90.4066095,63127
dnxBrWsHasYXofdKVcM1GA,Greenland Tea House,Philadelphia,PA,39.9550089,-75.15416,19107
15JFk0bn7HJ9g9-N7tXl_Q,Heung Fa Chun Sweet House,Philadelphia,PA,39.9540118,-75.1562827,19107
RQTRnBmDXXNWiM1-1LEqWg,Charcoal,Yardley,PA,40.2444738,-74.8355892,19067
dSYsEujLjzHTEj3lXvSJsg,Snow Factory,University City,MO,38.6558631864,-90.3056078347,63130
3DSgJFIaXjdknbZn3LSnPQ,Dart Coffee Co,Santa Barbara,CA,34.4158054,-119.689906,93101
ql3jAWijsUf1-JdPLG2-AA,Doughnut Party,Edmonton,AB,53.547362521,-113.5279826195,T5K 0G6
IO3apWfFnKPO2XRFmGfTEw,Nathaniel Reid Bakery,Saint Louis,MO,38.5991673517,-90.4169680166,63122
45D7B9CqiUTTPUFcqmLx5Q,Live Oak Cafe,Santa Barbara,CA,34.4303146,-119.720935,93105
rh6O8NtKJUhqZ0G2Pkpj2Q,Yume Sushi Japanese Restaurant,Santa Barbara,CA,34.4155684,-119.6960641,93101
PQ0QbT5I6V8JvOm0NRFlFw,Thuy Cafe,Saint Petersburg,FL,27.8257395637,-82.6799897374,33714
wocwfwSFrNfYJRyfYSi1Cw,Knead Bagels,Philadelphia,PA,39.9481128,-75.1536477,19106
-pyobEWdpZ6jUp42f3I2xw,Dolsot House,Cherry Hill,NJ,39.9128681736,-75.0021335418,08034
-fs09akgCKv5rTTy7iUHUg,ICI Macarons & Cafe,Philadelphia,PA,39.9519105,-75.1443815,19106
dHB4vS2CFu2GlQ9ERG5H3Q,Crepe N' Roll,Reno,NV,39.5341997454,-119.8627603054,89503
2aZNVfzU-3672SjRHnPoOA,Clementine's Naughty and Nice Creamery,Clayton,MO,38.637779,-90.30772,63105
WzaZ77NphSm2k80lGZz8AQ,Bijous Yogurt & Gelato Kafe,Sparks,NV,39.5415763,-119.7159191,89434
DzzVSYXadZ1_XgfGz_Loyw,Paris Baguette,Philadelphia,PA,39.9537172,-75.155701,19107
aI3B47Y_AUYFP5K5JAYrlA,Polite Society,Saint Louis,MO,38.6174549,-90.2130046,63104
nMDteyIwo3zLbqm45xBwFw,Prince Tea House,Philadelphia,PA,39.9553481,-75.1540592,19107
BxLqgAycWWeq9wFbPh58pg,Mochi Ring Donut And Bubble Tea,Jenkintown,PA,40.0991324587,-75.1265807,19046
Y_wNEd-AtDTo-jdPakoCZA,Bubblelicious Lab,Cherry Hill,NJ,39.8964201,-74.9468035,08003
DtsCZpcAIAoBUEltDNG3og,Kind Ice Cream,Edmonton,AB,53.512132,-113.476101,T6C 0K1
trwHwsXOVV-ZmF-MtP98BA,High Street Philadelphia,Philadelphia,PA,39.949579,-75.1553831,19107
EvwnRnlgQxjhlhhdK3iS_A,Dream House Cafe,Marrero,LA,29.8872629074,-90.0989102852,70072
lakMZT5PYQltSOjGXWnJ0g,Lil' Pop Shop,Philadelphia,PA,39.9533432722,-75.2103484422,19104
imVOC0u_b8zWJspgfK2VTw,Yogurtland,Tucson,AZ,32.257858,-110.943264,85719
mLdqrqgEXuUrCdgHLr30QQ,Mango Mango Dessert,Philadelphia,PA,39.9546606,-75.156606,19107
zWfzgYe2nT9mHYm_vl1Ukw,Mopho,New Orleans,LA,29.9835238904,-90.1052539051,70119
tMtI6ECD6hwM-nFp2kXLKQ,Tea Do,Philadelphia,PA,39.954605,-75.156209,19107
QnKuifVndllMMQzrYqGFCA,Share Sweet,Olivette,MO,38.673262,-90.3863542,63132
NvmCO5xNbN41IRN5mxXUEg,Willowcreek Grill & Raw Sushi Restaurant,Boise,ID,43.5816698875,-116.2142678319,83705
muxda1cSVtplETqTfYVgZA,HUB Restaurant & Ice Creamery,Tucson,AZ,32.2218534,-110.9676616,85701
7lzL9rJLiojDh5kVzKGoLQ,Monkeyshine,Santa Barbara,CA,34.4158054,-119.689906,93101
9lRGG25YSg1-HNR7StNC1A,TSUJIRI Japanese Tea House,Edmonton,AB,53.5427076135,-113.5081313858,T5J 3M5
Sw8rvE6SwsbeniT3aGUJZQ,Big Catch Poke,Philadelphia,PA,39.9267197,-75.1673635,19148
n4PdRDOWgBOhke7AqCW3FA,Shake Shack,St. Louis,MO,38.641616,-90.261793,63108
eOuSlKYKSTDdDVPYQ6sSsA,PokeDoke,University City,MO,38.655573,-90.302691,63130
TPYRKrXsdUfOUQNFm6w_3w,Bellefonte Cafe,Wilmington,DE,39.7660064222,-75.500209216,19809
Ipkx4Sa7ybn8C6LtTqTztw,Double Knot,Philadelphia,PA,39.9496993,-75.162185,19107
JW8GAI4_RwyNorbQnouyFQ,Ice Land,Philadelphia,PA,39.9562529,-75.1558834,19107
E7jw4bNYxy00T1vIkzOdzQ,The Kettle Black,Philadelphia,PA,39.9615500201,-75.141204568,19123
2DTkzhmMpv5fIPKheePClA,Shaya,New Orleans,LA,29.9211379,-90.099559,70115
t6g6Lj8WzjIXXucCl9jdTQ,T-Swirl Crêpe,Philadelphia,PA,39.9550806,-75.1561748,19107
8Wq0LZSuHdPTlleQD5sU_w,The Bubble House,Philadelphia,PA,39.9535101,-75.1924985,19104
fU_PgV2qca4dEo2ZPmivPA,Dump-N-Roll,Philadelphia,PA,39.9583587,-75.1953934,19104
4R2KR_-FybS7oegGrXjHVg,Del Frisco's Double Eagle Steakhouse,Philadelphia,PA,39.9509564,-75.1654591,19102
S2n_06z4lGLZfdJ53XAXQQ,Etch,Nashville,TN,36.159155872,-86.7751615038,37201
PUDTWmMzevJdvsueEmnYqw,Hochaya,Goleta,CA,34.43119138,-119.8740625,93117
xBAieAvUBy4xKE3hBAawbg,Kung Fu Tea,Pinellas Park,FL,27.841959,-82.700803,33781
PVo1orQ9R7ZHfg90QACh-w,Your Choice,Santa Barbara,CA,34.4406266,-119.7367796,93105
qK7E1up_L7JlJ8yhV6Gfxg,Kuriimii,Philadelphia,PA,39.9547891,-75.1569208,19107
xBMkvH_qR-LhA-kJ_Gwvqg,Winterfell Dessert,Philadelphia,PA,39.956256,-75.202346,19104
LuPK46HMxRYEVTXVbBCR1g,Sama Sama Kitchen,Santa Barbara,CA,34.4237005,-119.7046377,93101
qgwOoCqT86uzrAoDAcWU1w,Composition Cafe,Reno,NV,39.5208903,-119.8132857,89501
x_Bipuc1nuQDXxyZC2ih8Q,IceBurg,Saint Petersburg,FL,27.7715028,-82.6395239,33701
TvbJq1a1Xto5w6t4zMUYHQ,Vessel NOLA,New Orleans,LA,29.9741715,-90.0974329,70119
TsoCCouCudxL2mwn86SFiQ,Arctic Scoop,Philadelphia,PA,39.927457,-75.166521,19148
oGDGlUbOjHxmmCh8ZYcDCg,The Lark,Santa Barbara,CA,34.4148777,-119.690279,93101
qOrd_jWT3e16_wwRSpvYwQ,Roy's Restaurant,Tampa,FL,27.96159919,-82.51687288,33607
1QJD4wh6gdlO6I1h0_FiZg,Levee Baking Co.,New Orleans,LA,29.9237454,-90.0861755,70115
U_Sw9VC6mCyTbUo2mejS0A,Royal Boba,Nashville,TN,36.1431258856,-86.8581593239,37209
t07Pof3RG7i-4DdZ5pYdaQ,CoreLife Eatery,Indianapolis,IN,39.9060987371,-86.0939471329,46250
f88R41qxHK65RkDjn3TehA,I CE NY,Philadelphia,PA,39.955391325,-75.1566101418,19107
ETZK5PuCsVfQ7ElXckDTPw,Ban Ban Asian Bistro,Abington,PA,40.1270790528,-75.1167098433,19001
E8CBQWDoCK3WujyMFfVG2A,Chop Steakhouse & Bar,Edmonton,AB,53.5449339,-113.4931031,T5J 3E9
jkGQQ4_LgJx3hwPtCFkzbQ,Max Brenner - Philadelphia,Philadelphia,PA,39.9491000076,-75.1661748827,19102
iCCSlTTZTzhpmhBO79CoYA,Shake Shack,King of Prussia,PA,40.090194,-75.395468,19406
G_bi7l0nU74I4Vr1V7IcMg,TeaStori,Tampa,FL,28.0557460623,-82.429274,33612
H0unmI-lJTazbPh-Lt6lBQ,Token Ramen & Kung Fu Tea,Tampa,FL,27.9410598644,-82.5060900673,33609
